"workid","subjectid"
"OL16981618W","699"
"OL16981618W","702"
"OL16981618W","1426"
"OL16981618W","133"
"OL16981618W","902"
"OL17984519W","535"
"OL17984519W","756"
"OL17984519W","479"
"OL17984519W","133"
"OL2038460W","1612"
"OL2038460W","133"
"OL2038460W","140"
"OL2038460W","743"
"OL2038460W","1468"
"OL2038460W","2119"
"OL2038460W","1211"
"OL2038460W","1719"
"OL2038460W","982"
"OL2038460W","1244"
"OL2831940W","756"
"OL2831940W","997"
"OL2831940W","540"
"OL2831940W","133"
"OL2971752W","133"
"OL2971752W","368"
"OL2971752W","1232"
"OL2971752W","2038"
"OL3262811W","929"
"OL3262811W","133"
"OL3262811W","540"
"OL3486060W","133"
"OL4086320W","133"
"OL4086320W","393"
"OL4086320W","1146"
"OL4895975W","982"
"OL4895975W","133"
"OL5151267W","133"
"OL5151267W","540"
"OL5151267W","1687"
"OL716848W","1054"
"OL716848W","1888"
"OL716848W","1869"
"OL716848W","1612"
"OL716848W","1346"
"OL716848W","82"
"OL716848W","133"
"OL716848W","124"
"OL716848W","1056"
"OL716848W","1719"
"OL716848W","1887"
"OL716848W","735"
"OL716848W","512"
"OL716848W","1875"
"OL716848W","1430"
"OL716848W","1304"
"OL716848W","1335"
"OL716848W","1395"
"OL716848W","1164"
"OL716848W","1394"
"OL716848W","1611"
"OL716848W","520"
"OL716848W","736"
"OL716848W","1774"
"OL716848W","338"
"OL716848W","1499"
"OL716848W","2281"
"OL716848W","1117"
"OL716848W","1308"
"OL716848W","2222"
"OL716848W","565"
"OL716848W","2253"
"OL716848W","1161"
"OL716848W","1061"
"OL716848W","154"
"OL12362685W","479"
"OL12362685W","133"
"OL13360725W","479"
"OL13360725W","1146"
"OL13360725W","133"
"OL15547047W","794"
"OL15547047W","133"
"OL15547047W","532"
"OL16008187W","479"
"OL16008187W","1191"
"OL16008187W","383"
"OL16008187W","2038"
"OL16008187W","1299"
"OL16008187W","1026"
"OL16008187W","133"
"OL16946173W","430"
"OL16946173W","1023"
"OL16946173W","546"
"OL16946173W","426"
"OL16946173W","539"
"OL16946173W","133"
"OL16956459W","1024"
"OL16956459W","430"
"OL16956459W","1951"
"OL16956459W","1023"
"OL16956459W","426"
"OL16956459W","133"
"OL16956459W","438"
"OL16958004W","1951"
"OL16958004W","446"
"OL16958004W","430"
"OL16958004W","133"
"OL16958004W","438"
"OL16970451W","699"
"OL16970451W","702"
"OL16970451W","133"
"OL2356178W","1892"
"OL2356178W","1196"
"OL2356178W","133"
"OL2710037W","133"
"OL2710037W","1146"
"OL2710037W","1169"
"OL2710037W","1677"
"OL2710037W","1678"
"OL2710037W","1715"
"OL2710037W","1567"
"OL2995894W","479"
"OL2995894W","855"
"OL2995894W","756"
"OL2995894W","1822"
"OL2995894W","1468"
"OL2995894W","540"
"OL2995894W","700"
"OL2995894W","450"
"OL3370975W","479"
"OL3370975W","1822"
"OL3370975W","133"
"OL3370975W","167"
"OL3950012W","133"
"OL3950012W","338"
"OL3950012W","349"
"OL3950012W","1054"
"OL4854823W","133"
"OL4854823W","756"
"OL4854823W","1019"
"OL5059195W","133"
"OL5059195W","479"
"OL5059195W","756"
"OL5059195W","1350"
"OL6087450W","1054"
"OL6087450W","133"
"OL6428457W","133"
"OL6428457W","217"
"OL6428457W","540"
"OL6428457W","1321"
"OL6428457W","1327"
"OL6428457W","1739"
"OL6428457W","1855"
"OL9076097W","1546"
"OL9076097W","159"
"OL9076097W","964"
"OL9076097W","446"
"OL9076097W","454"
"OL9076097W","971"
"OL9076097W","2228"
"OL9076097W","966"
"OL9076097W","197"
"OL9076097W","127"
"OL126120W","982"
"OL126120W","133"
"OL126120W","461"
"OL15305312W","1357"
"OL15305312W","756"
"OL15305312W","133"
"OL3038799W","607"
"OL3038799W","1275"
"OL3255868W","461"
"OL3255868W","133"
"OL3255868W","1771"
"OL3255868W","1719"
"OL3255868W","982"
"OL3294193W","268"
"OL3294193W","133"
"OL3294193W","540"
"OL3294193W","1519"
"OL3496658W","437"
"OL3496658W","133"
"OL3496658W","1331"
"OL4742640W","133"
"OL4742640W","1805"
"OL4782482W","133"
"OL4782482W","446"
"OL4782482W","2244"
"OL4960211W","133"
"OL7794954W","133"
"OL7794954W","426"
"OL7794954W","479"
"OL7794954W","544"
"OL7794954W","2113"
"OL862853W","2259"
"OL862853W","133"
"OL10991537W","133"
"OL10991537W","31"
"OL11167029W","133"
"OL12539911W","479"
"OL12539911W","457"
"OL12539911W","411"
"OL12539911W","133"
"OL13150278W","479"
"OL13150278W","1321"
"OL13150278W","972"
"OL13150278W","540"
"OL13150278W","1327"
"OL13150278W","1468"
"OL13150278W","133"
"OL13392894W","479"
"OL13392894W","1504"
"OL13392894W","540"
"OL13392894W","133"
"OL13392894W","994"
"OL1424993W","1546"
"OL1424993W","133"
"OL16114442W","2004"
"OL16114442W","196"
"OL16114442W","133"
"OL16915311W","1951"
"OL16915311W","426"
"OL16915311W","1024"
"OL16915311W","430"
"OL16915311W","133"
"OL3130849W","1896"
"OL3130849W","133"
"OL3130849W","1710"
"OL3936582W","982"
"OL3936582W","133"
"OL3936582W","1719"
"OL4813312W","133"
"OL4813312W","206"
"OL4813312W","755"
"OL4813312W","756"
"OL4813312W","1020"
"OL5126354W","133"
"OL5126354W","411"
"OL5126354W","457"
"OL5126354W","479"
"OL6040453W","133"
"OL6040453W","479"
"OL6040453W","1066"
"OL9508949W","133"
"OL9508949W","1612"
"OL12341021W","479"
"OL12341021W","133"
"OL13502751W","133"
"OL13502751W","338"
"OL13502751W","349"
"OL13502751W","479"
"OL13502751W","1148"
"OL13502751W","1898"
"OL13502751W","2147"
"OL13826530W","1791"
"OL13826530W","2235"
"OL13826530W","1822"
"OL13826530W","133"
"OL14923649W","982"
"OL14923649W","1871"
"OL14923649W","1719"
"OL14923649W","794"
"OL14923649W","1978"
"OL14923649W","1562"
"OL14923649W","1213"
"OL14923649W","1967"
"OL16918858W","699"
"OL16918858W","644"
"OL16918858W","133"
"OL16946839W","145"
"OL16946839W","699"
"OL16946839W","437"
"OL16946839W","1613"
"OL16946839W","133"
"OL16947285W","1546"
"OL16947285W","446"
"OL16947285W","430"
"OL16947285W","133"
"OL16947285W","438"
"OL16961443W","699"
"OL16961443W","997"
"OL16961443W","702"
"OL16961443W","2109"
"OL16961443W","133"
"OL17101523W","955"
"OL2959044W","479"
"OL2959044W","540"
"OL2959044W","1505"
"OL2959044W","1951"
"OL2959044W","61"
"OL2959044W","1584"
"OL2959044W","133"
"OL3915496W","32"
"OL3915496W","93"
"OL3915496W","95"
"OL3915496W","133"
"OL3915496W","479"
"OL3915496W","1822"
"OL3915496W","1916"
"OL4316294W","133"
"OL4316294W","166"
"OL4316294W","479"
"OL450249W","133"
"OL450249W","338"
"OL450249W","349"
"OL450249W","2147"
"OL5369420W","133"
"OL5369420W","356"
"OL5369420W","966"
"OL5369420W","1719"
"OL5369420W","982"
"OL9383194W","133"
"OL9383194W","511"
"OL9383194W","2147"
"OL11558740W","332"
"OL11558740W","1982"
"OL11558740W","133"
"OL11673966W","479"
"OL11673966W","410"
"OL11673966W","418"
"OL11673966W","133"
"OL11673966W","1546"
"OL11673966W","446"
"OL11673966W","430"
"OL12807551W","1273"
"OL12807551W","1124"
"OL12807551W","794"
"OL12807551W","1872"
"OL12807551W","940"
"OL12807551W","1122"
"OL12807551W","287"
"OL12807551W","133"
"OL12807551W","1091"
"OL13613579W","1091"
"OL15409037W","1916"
"OL15409037W","349"
"OL15409037W","1727"
"OL15409037W","133"
"OL15409037W","2179"
"OL15941117W","133"
"OL15941117W","794"
"OL15946404W","479"
"OL15946404W","133"
"OL16108751W","1642"
"OL16108751W","1281"
"OL16108751W","540"
"OL16945587W","430"
"OL16945587W","1023"
"OL16945587W","546"
"OL16945587W","426"
"OL16945587W","539"
"OL16945587W","133"
"OL16945587W","1034"
"OL16945587W","756"
"OL16945587W","479"
"OL16945622W","426"
"OL16945622W","438"
"OL16945622W","430"
"OL16945622W","133"
"OL16945622W","539"
"OL16976808W","389"
"OL16976808W","1024"
"OL16976808W","430"
"OL16976808W","133"
"OL16976808W","438"
"OL16987909W","699"
"OL16987909W","133"
"OL1974702W","572"
"OL1974702W","1357"
"OL1974702W","1705"
"OL1974702W","133"
"OL1974702W","438"
"OL4289467W","133"
"OL4289467W","449"
"OL4289467W","479"
"OL4289467W","540"
"OL4289467W","700"
"OL4451820W","133"
"OL4451820W","2038"
"OL4469687W","133"
"OL4469687W","349"
"OL4469687W","1258"
"OL5743922W","133"
"OL5743922W","479"
"OL5743922W","2038"
"OL8978488W","488"
"OL8978488W","349"
"OL8978488W","133"
"OL8978488W","1091"
"OL11563220W","1603"
"OL11563220W","115"
"OL11563220W","1953"
"OL11563220W","475"
"OL11563220W","1822"
"OL11563220W","133"
"OL13619855W","513"
"OL13619855W","133"
"OL13642110W","479"
"OL13642110W","1023"
"OL13642110W","1066"
"OL13642110W","133"
"OL16946305W","546"
"OL16946305W","426"
"OL16946305W","1015"
"OL16946305W","67"
"OL16946305W","1017"
"OL16946305W","1008"
"OL16946305W","128"
"OL16946305W","1023"
"OL16946305W","438"
"OL16946305W","133"
"OL16946305W","430"
"OL16948615W","498"
"OL16948615W","133"
"OL16948659W","2173"
"OL16948659W","539"
"OL16948659W","1546"
"OL16948659W","2137"
"OL16948659W","430"
"OL16948659W","133"
"OL16948659W","393"
"OL16949924W","1144"
"OL16949924W","133"
"OL16949924W","1025"
"OL16960020W","540"
"OL16960020W","645"
"OL16960020W","430"
"OL16960020W","133"
"OL16960020W","1941"
"OL18149180W","254"
"OL18149180W","2084"
"OL18149180W","2019"
"OL18149180W","1162"
"OL18149180W","1700"
"OL18149180W","322"
"OL18149180W","1036"
"OL18149180W","270"
"OL18149180W","133"
"OL18149180W","1061"
"OL1911980W","1068"
"OL1911980W","500"
"OL1911980W","1824"
"OL1911980W","133"
"OL4024285W","133"
"OL4024285W","338"
"OL4024285W","540"
"OL4024285W","1465"
"OL4101175W","133"
"OL4101175W","349"
"OL4135521W","133"
"OL4135521W","373"
"OL4135521W","479"
"OL4135521W","540"
"OL4135521W","801"
"OL4135521W","1691"
"OL4135521W","1885"
"OL4179914W","133"
"OL4179914W","369"
"OL4179914W","1727"
"OL4179914W","1730"
"OL4179914W","2151"
"OL5765871W","133"
"OL5765871W","479"
"OL5765871W","1948"
"OL6209752W","133"
"OL6209752W","290"
"OL6209752W","292"
"OL6209752W","1344"
"OL6209752W","1893"
"OL6209752W","2266"
"OL7940254W","417"
"OL7940254W","410"
"OL7940254W","1705"
"OL7940254W","133"
"OL8324499W","349"
"OL8324499W","133"
"OL11546086W","418"
"OL11546086W","133"
"OL11567124W","1231"
"OL11567124W","1270"
"OL11567124W","775"
"OL11567124W","1951"
"OL11567124W","755"
"OL11567124W","133"
"OL11567124W","806"
"OL11748150W","479"
"OL11748150W","133"
"OL11748150W","1464"
"OL12267333W","133"
"OL12267333W","430"
"OL12267333W","898"
"OL12267333W","1511"
"OL12301028W","479"
"OL12301028W","1066"
"OL12301028W","1517"
"OL12301028W","133"
"OL12301028W","1023"
"OL12318336W","133"
"OL12318336W","756"
"OL12318336W","2147"
"OL12343592W","479"
"OL12343592W","517"
"OL12343592W","54"
"OL12343592W","133"
"OL12343592W","1658"
"OL16011419W","2298"
"OL16011419W","419"
"OL16011419W","1444"
"OL16011419W","133"
"OL16011419W","794"
"OL16011419W","895"
"OL16282633W","418"
"OL16282633W","479"
"OL16282633W","2238"
"OL16282633W","99"
"OL16282633W","455"
"OL16282633W","133"
"OL16282633W","619"
"OL16942052W","237"
"OL16942052W","437"
"OL16942052W","430"
"OL16942052W","1951"
"OL16942052W","539"
"OL16942052W","1546"
"OL16942052W","133"
"OL16942492W","699"
"OL16942492W","133"
"OL16957528W","1024"
"OL16957528W","430"
"OL16957528W","546"
"OL16957528W","1023"
"OL16957528W","539"
"OL16957528W","133"
"OL16963299W","430"
"OL16963299W","1951"
"OL16963299W","1023"
"OL16963299W","426"
"OL16963299W","133"
"OL16963299W","438"
"OL2770738W","479"
"OL2770738W","133"
"OL2942148W","1869"
"OL2942148W","1612"
"OL2942148W","133"
"OL3333712W","1468"
"OL3333712W","133"
"OL3501791W","1468"
"OL3501791W","133"
"OL3501791W","1258"
"OL3596489W","133"
"OL3742424W","133"
"OL3742424W","540"
"OL3742424W","1169"
"OL4633024W","133"
"OL4633024W","437"
"OL4633024W","479"
"OL4633024W","756"
"OL4633024W","1710"
"OL6220945W","133"
"OL6220945W","437"
"OL6220945W","479"
"OL6220945W","1258"
"OL6220945W","1772"
"OL6243696W","133"
"OL6243696W","426"
"OL6243696W","526"
"OL6243696W","1193"
"OL6243696W","1612"
"OL6243696W","2115"
"OL7939730W","133"
"OL7939730W","1146"
"OL7939730W","393"
"OL7939730W","1896"
"OL7939730W","1719"
"OL7939730W","982"
"OL11148045W","479"
"OL11148045W","1468"
"OL11148045W","855"
"OL11148045W","838"
"OL11148045W","133"
"OL11764698W","133"
"OL12403332W","479"
"OL12403332W","452"
"OL12403332W","540"
"OL12403332W","656"
"OL12403332W","652"
"OL12403332W","645"
"OL12403332W","887"
"OL12403332W","133"
"OL12403332W","1070"
"OL13393078W","133"
"OL13686888W","133"
"OL16939525W","2173"
"OL16939525W","393"
"OL16939525W","133"
"OL16939525W","430"
"OL16939994W","446"
"OL16939994W","1024"
"OL16939994W","430"
"OL16939994W","1546"
"OL16939994W","418"
"OL16939994W","133"
"OL16939994W","438"
"OL16940936W","1546"
"OL16940936W","446"
"OL16940936W","1024"
"OL16940936W","430"
"OL16940936W","133"
"OL16941966W","1024"
"OL16941966W","430"
"OL16941966W","546"
"OL16941966W","1023"
"OL16941966W","539"
"OL16941966W","133"
"OL2917932W","133"
"OL2917932W","220"
"OL2917932W","232"
"OL2917932W","792"
"OL2917932W","916"
"OL2917932W","1804"
"OL2917932W","1879"
"OL2917932W","225"
"OL2917932W","1161"
"OL2917932W","1450"
"OL3837819W","133"
"OL3837819W","540"
"OL3837819W","557"
"OL4092084W","133"
"OL4092084W","479"
"OL4092084W","555"
"OL4092084W","576"
"OL4092084W","755"
"OL4092084W","756"
"OL4092084W","1321"
"OL4216921W","133"
"OL4216921W","1299"
"OL4216921W","2151"
"OL4786354W","133"
"OL4786354W","1025"
"OL4786354W","1228"
"OL4786354W","1772"
"OL11178908W","2206"
"OL11178908W","133"
"OL11178908W","941"
"OL15400395W","18"
"OL15400395W","1126"
"OL15400395W","982"
"OL15400395W","133"
"OL15400395W","1719"
"OL15971024W","676"
"OL15971024W","457"
"OL15971024W","133"
"OL16499945W","479"
"OL16499945W","446"
"OL16499945W","1822"
"OL16499945W","966"
"OL16499945W","133"
"OL16616829W","133"
"OL16616829W","430"
"OL16616829W","540"
"OL16616829W","916"
"OL16924645W","1024"
"OL16924645W","430"
"OL16924645W","426"
"OL16924645W","424"
"OL16924645W","1540"
"OL16924645W","133"
"OL16941749W","699"
"OL16941749W","543"
"OL16941749W","538"
"OL16941749W","133"
"OL16970378W","237"
"OL16970378W","446"
"OL16970378W","430"
"OL16970378W","1546"
"OL16970378W","133"
"OL16970378W","438"
"OL2628877W","133"
"OL2628877W","338"
"OL2628877W","437"
"OL2628877W","1335"
"OL2628877W","1772"
"OL2628877W","2119"
"OL2628877W","1153"
"OL2628877W","798"
"OL2628877W","2222"
"OL2628877W","1760"
"OL2628877W","1917"
"OL2628877W","1162"
"OL2628877W","406"
"OL2628877W","127"
"OL2628877W","1061"
"OL2628877W","2118"
"OL3501788W","133"
"OL3796863W","133"
"OL3796863W","479"
"OL3796863W","994"
"OL3796863W","1822"
"OL3911367W","133"
"OL3911367W","826"
"OL3911367W","2187"
"OL4359564W","21"
"OL4359564W","106"
"OL4359564W","133"
"OL4359564W","479"
"OL4359564W","540"
"OL4359564W","677"
"OL4359564W","1822"
"OL4454629W","133"
"OL4454629W","452"
"OL4454629W","540"
"OL4454629W","645"
"OL4454629W","653"
"OL4454629W","654"
"OL4454629W","657"
"OL4454629W","1081"
"OL4454629W","1205"
